protein	synthesis rate (nmol protein/mmol c6 unit)
PROSYN-Clo1313_0749      	 3.42762985E-01
PROSYN-Clo1313_0793      	 0.00000000E+00
PROSYN-Clo1313_0794      	 0.00000000E+00
PROSYN-Clo1313_0795      	 0.00000000E+00
PROSYN-Clo1313_0813      	 0.00000000E+00
PROSYN-Clo1313_0815      	 0.00000000E+00
PROSYN-Clo1313_0820      	 0.00000000E+00
PROSYN-Clo1313_0821      	 4.13132237E-04
PROSYN-Clo1313_0822      	 4.13132237E-04
PROSYN-Clo1313_0823      	 0.00000000E+00
PROSYN-Clo1313_0830      	 1.30811001E-03
PROSYN-Clo1313_0833      	 0.00000000E+00
PROSYN-Clo1313_0836      	 3.30169053E-01
PROSYN-Clo1313_0837      	 3.30169053E-01
PROSYN-Clo1313_0849      	 1.71555349E-04
PROSYN-Clo1313_0851      	 3.74356686E-03
PROSYN-Clo1313_0853      	 4.76469646E-04
PROSYN-Clo1313_0857      	 1.79053056E+00
PROSYN-Clo1313_0859      	 0.00000000E+00
PROSYN-Clo1313_0864      	 0.00000000E+00
PROSYN-Clo1313_0867      	 4.03887182E-01
PROSYN-Clo1313_0871      	 0.00000000E+00
PROSYN-Clo1313_0872      	 0.00000000E+00
PROSYN-Clo1313_0873      	 3.62549761E-01
PROSYN-Clo1313_0887      	 0.00000000E+00
PROSYN-Clo1313_0892      	 0.00000000E+00
PROSYN-Clo1313_0901      	 0.00000000E+00
PROSYN-Clo1313_0905      	 1.98696556E+00
PROSYN-Clo1313_0908      	 0.00000000E+00
PROSYN-Clo1313_0909      	 0.00000000E+00
PROSYN-Clo1313_0910      	 0.00000000E+00
PROSYN-Clo1313_0912      	 0.00000000E+00
PROSYN-Clo1313_0922      	 1.23785507E-01
PROSYN-Clo1313_0923      	 0.00000000E+00
PROSYN-Clo1313_0930      	 0.00000000E+00
PROSYN-Clo1313_0941      	 9.86844263E-02
PROSYN-Clo1313_0942      	 0.00000000E+00
PROSYN-Clo1313_0943      	 0.00000000E+00
PROSYN-Clo1313_0944      	 5.05113776E-01
PROSYN-Clo1313_0948      	 0.00000000E+00
PROSYN-Clo1313_0949      	 8.75337582E-01
PROSYN-Clo1313_0959      	 1.98696556E+00
PROSYN-Clo1313_0960      	 0.00000000E+00
PROSYN-Clo1313_0962      	 0.00000000E+00
PROSYN-Clo1313_0966      	 9.57439812E-03
PROSYN-Clo1313_0974      	 0.00000000E+00
PROSYN-Clo1313_0979      	 1.98696556E+00
PROSYN-Clo1313_0982      	 0.00000000E+00
PROSYN-Clo1313_0993      	 3.97635475E-01
PROSYN-Clo1313_0997      	 0.00000000E+00
PROSYN-Clo1313_1002      	 0.00000000E+00
PROSYN-Clo1313_1008      	 2.86835799E-01
PROSYN-Clo1313_1009      	 1.34926590E-01
PROSYN-Clo1313_1010      	 2.50145364E-01
PROSYN-Clo1313_1011      	 1.55795224E-02
PROSYN-Clo1313_1012      	 9.54499161E-01
PROSYN-Clo1313_1013      	 1.90835597E-01
PROSYN-Clo1313_1016      	 6.82370767E-03
PROSYN-Clo1313_1020      	 4.92098759E-01
PROSYN-Clo1313_1024      	 0.00000000E+00
PROSYN-Clo1313_1029      	 0.00000000E+00
PROSYN-Clo1313_1030      	 1.55866925E-01
PROSYN-Clo1313_1031      	 2.02095573E-02
PROSYN-Clo1313_1033      	 1.98696556E+00
PROSYN-Clo1313_1034      	 1.98696556E+00
PROSYN-Clo1313_1046      	 0.00000000E+00
PROSYN-Clo1313_1056      	 0.00000000E+00
PROSYN-Clo1313_1057      	 0.00000000E+00
PROSYN-Clo1313_1073      	 0.00000000E+00
PROSYN-Clo1313_1076      	 0.00000000E+00
PROSYN-Clo1313_1082      	 0.00000000E+00
PROSYN-Clo1313_1090      	 0.00000000E+00
PROSYN-Clo1313_1094      	 0.00000000E+00
PROSYN-Clo1313_1098      	 1.61111966E-01
PROSYN-Clo1313_1099      	 5.20941793E-02
PROSYN-Clo1313_1119      	 0.00000000E+00
PROSYN-Clo1313_1120      	 7.97004879E-01
PROSYN-Clo1313_1127      	 0.00000000E+00
PROSYN-Clo1313_1134      	 0.00000000E+00
PROSYN-Clo1313_1145      	 0.00000000E+00
PROSYN-Clo1313_1150      	 6.94290201E-01
PROSYN-Clo1313_1151      	 1.13824516E-01
PROSYN-Clo1313_1154      	 0.00000000E+00
PROSYN-Clo1313_1155      	 2.97823331E+00
PROSYN-Clo1313_1159      	 0.00000000E+00
PROSYN-Clo1313_1160      	 0.00000000E+00
PROSYN-Clo1313_1167      	 0.00000000E+00
PROSYN-Clo1313_1172      	 7.83069476E-02
PROSYN-Clo1313_1174      	 1.98696556E+00
PROSYN-Clo1313_1176      	 0.00000000E+00
PROSYN-Clo1313_1181      	 0.00000000E+00
PROSYN-Clo1313_1182      	 0.00000000E+00
PROSYN-Clo1313_1183      	 0.00000000E+00
PROSYN-Clo1313_1185      	 2.76633665E-02
PROSYN-Clo1313_1186      	 9.48737375E-02
PROSYN-Clo1313_1188      	 1.98696556E+00
PROSYN-Clo1313_1192      	 2.66726291E-01
PROSYN-Clo1313_1194      	 7.59001495E+00
PROSYN-Clo1313_1195      	 1.15269726E-01
PROSYN-Clo1313_1196      	 1.15269726E-01
PROSYN-Clo1313_1198      	 0.00000000E+00
PROSYN-Clo1313_1206      	 0.00000000E+00
PROSYN-Clo1313_1209      	 1.98696556E+00
PROSYN-Clo1313_1211      	 2.77897777E-02
PROSYN-Clo1313_1214      	 0.00000000E+00
PROSYN-Clo1313_1215      	 2.84480765E-02
PROSYN-Clo1313_1216      	 0.00000000E+00
PROSYN-Clo1313_1218      	 0.00000000E+00
PROSYN-Clo1313_1229      	 1.66518145E-02
PROSYN-Clo1313_1233      	 0.00000000E+00
PROSYN-Clo1313_1240      	 1.04765032E-01
PROSYN-Clo1313_1241      	 9.21542885E-02
PROSYN-Clo1313_1242      	 3.75855147E-02
PROSYN-Clo1313_1244      	 2.96973561E-02
PROSYN-Clo1313_1245      	 3.75855147E-02
PROSYN-Clo1313_1251      	 0.00000000E+00
PROSYN-Clo1313_1253      	 3.83781171E-01
PROSYN-Clo1313_1254      	 3.21560017E-01
PROSYN-Clo1313_1255      	 2.72961655E+00
PROSYN-Clo1313_1262      	 0.00000000E+00
PROSYN-Clo1313_1264      	 9.49758338E-02
PROSYN-Clo1313_1265      	 9.51825400E-02
PROSYN-Clo1313_1266      	 1.07746596E-01
PROSYN-Clo1313_1267      	 1.06767270E-01
PROSYN-Clo1313_1268      	 1.06767270E-01
PROSYN-Clo1313_1269      	 4.27424131E-02
PROSYN-Clo1313_1270      	 4.27424131E-02
PROSYN-Clo1313_1271      	 0.00000000E+00
PROSYN-Clo1313_1276      	 3.51560249E-03
PROSYN-Clo1313_1281      	 0.00000000E+00
PROSYN-Clo1313_1282      	 9.97964110E-01
PROSYN-Clo1313_1283      	 0.00000000E+00
PROSYN-Clo1313_1285      	 1.12605805E-01
PROSYN-Clo1313_1287      	 0.00000000E+00
PROSYN-Clo1313_1289      	 6.98360509E-03
PROSYN-Clo1313_1295      	 0.00000000E+00
PROSYN-Clo1313_1300      	 0.00000000E+00
PROSYN-Clo1313_1301      	 0.00000000E+00
PROSYN-Clo1313_1305      	 3.36779573E-02
PROSYN-Clo1313_1306      	 7.50305151E-02
PROSYN-Clo1313_1312      	 0.00000000E+00
PROSYN-Clo1313_1316      	 0.00000000E+00
PROSYN-Clo1313_1317      	 0.00000000E+00
PROSYN-Clo1313_1318      	 0.00000000E+00
PROSYN-Clo1313_1321      	 0.00000000E+00
PROSYN-Clo1313_1335      	 0.00000000E+00
PROSYN-Clo1313_1339      	 0.00000000E+00
PROSYN-Clo1313_1340      	 5.50983491E+00
PROSYN-Clo1313_1342      	 0.00000000E+00
PROSYN-Clo1313_1345      	 9.12518283E-02
PROSYN-Clo1313_1346      	 4.06973354E-02
PROSYN-Clo1313_1347      	 2.40636111E-02
PROSYN-Clo1313_1348      	 5.91626135E-03
PROSYN-Clo1313_1353      	 2.15320602E-01
PROSYN-Clo1313_1354      	 2.15320602E-01
PROSYN-Clo1313_1355      	 2.15320602E-01
PROSYN-Clo1313_1356      	 2.15320602E-01
PROSYN-Clo1313_1357      	 0.00000000E+00
PROSYN-Clo1313_1364      	 2.17476319E+00
PROSYN-Clo1313_1365      	 7.58640258E-02
PROSYN-Clo1313_1366      	 4.85164283E-02
PROSYN-Clo1313_1371      	 5.88672601E-02
PROSYN-Clo1313_1390      	 0.00000000E+00
PROSYN-Clo1313_1393      	 5.98486192E-03
PROSYN-Clo1313_1396      	 1.97878216E-03
PROSYN-Clo1313_1398      	 0.00000000E+00
PROSYN-Clo1313_1425      	 3.30422742E-05
PROSYN-Clo1313_1429      	 7.78559358E-02
PROSYN-Clo1313_1434      	 6.68698801E-01
PROSYN-Clo1313_1435      	 1.91080150E-01
PROSYN-Clo1313_1447      	 0.00000000E+00
PROSYN-Clo1313_1452      	 0.00000000E+00
PROSYN-Clo1313_1453      	 1.98696556E+00
PROSYN-Clo1313_1457      	 1.98696556E+00
PROSYN-Clo1313_1467      	 0.00000000E+00
PROSYN-Clo1313_1472      	 0.00000000E+00
PROSYN-Clo1313_1473      	 0.00000000E+00
PROSYN-Clo1313_1474      	 0.00000000E+00
PROSYN-Clo1313_1475      	 0.00000000E+00
PROSYN-Clo1313_1477      	 8.72010284E-03
PROSYN-Clo1313_1481      	 2.42753474E-01
PROSYN-Clo1313_1486      	 0.00000000E+00
PROSYN-Clo1313_1487      	 1.96233059E-04
PROSYN-Clo1313_1491      	 2.77187341E+00
PROSYN-Clo1313_1492      	 7.47366004E-02
PROSYN-Clo1313_1499      	 4.15967549E-02
PROSYN-Clo1313_1500      	 4.48209581E-01
PROSYN-Clo1313_1502      	 0.00000000E+00
PROSYN-Clo1313_1503      	 0.00000000E+00
PROSYN-Clo1313_1508      	 1.22304398E-02
PROSYN-Clo1313_1509      	 0.00000000E+00
PROSYN-Clo1313_1510      	 0.00000000E+00
PROSYN-Clo1313_1512      	 8.97103421E-02
PROSYN-Clo1313_1513      	 9.46750145E-02
PROSYN-Clo1313_1517      	 0.00000000E+00
PROSYN-Clo1313_1523      	 0.00000000E+00
PROSYN-Clo1313_1524      	 0.00000000E+00
PROSYN-Clo1313_1525      	 0.00000000E+00
PROSYN-Clo1313_1526      	 3.30585951E+00
PROSYN-Clo1313_1529      	 0.00000000E+00
PROSYN-Clo1313_1530      	 0.00000000E+00
PROSYN-Clo1313_1537      	 1.05559641E-01
PROSYN-Clo1313_1539      	 0.00000000E+00
PROSYN-Clo1313_1540      	 6.25051550E-02
PROSYN-Clo1313_1542      	 1.20934053E+00
PROSYN-Clo1313_1545      	 0.00000000E+00
