rxn	LB	flux	UB
RXN-ALAt_FWD-azlCD                           	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ALAt_REV-azlCD                           	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ALATRS_FWD-alaS                          	    0.00E+00	 1.16258448E-01	    1.00E+03
RXN-ALCD22xi_FWD-cotJA                       	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ALCD22xi2_FWD-cotJA                      	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ALCD23xi_FWD-gbsB_1798                   	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ALCD23xi2_FWD-cotJA                      	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ALCD23yi_FWD-gbsB_1798                   	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ALCD2x_FWD-gbsB_1798                     	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ALCD2y_FWD-gbsB_1798                     	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ALCD3MBOH_FWD-cotJA                      	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ALCD3x_FWD-cotJA                         	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ALDD1_FWD-aldX                           	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ALDD1_REV-aldX                           	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ALDD20x_FWD-Clo1313_2911                 	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ALDD20x_REV-Clo1313_2911                 	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ALDD22x_FWD-aldX                         	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ALDD2x_FWD-aldX                          	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ALDH_FWD-aldX                            	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ALLAS_FWD-ltaSC_2059                     	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ALLAS_FWD-ltaSC_2170                     	    0.00E+00	 7.04634220E-04	    1.00E+03
RXN-AMAOTr_FWD-bioA                          	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-AMAOTr_REV-bioA                          	    0.00E+00	 0.00000000E+00	    1.00E+03
