RXN	LB	flux	UB
RXN-BHPR_FWD-capD_2905	        0.00	0.00000000	     1000.00
RXN-BHPR_REV-capD_2905	        0.00	0.00000000	     1000.00
RXN-BHPR_FWD-flaA	        0.00	0.00000000	     1000.00
RXN-BHPR_REV-flaA	        0.00	0.00000000	     1000.00
RXN-BIF_FWD-HndACD	        0.00	0.00000000	     1000.00
RXN-BIF_FWD-HndABCD	        0.00	0.00000000	     1000.00
RXN-BIF_REV-HndACD	        0.00	0.00000000	     1000.00
RXN-BIF_REV-HndABCD	        0.00	50.58667196	     1000.00
RXN-BPNT_FWD-tufA	        0.00	0.07672527	     1000.00
RXN-BTCOARx_FWD-gbsB_1798	        0.00	0.00000000	     1000.00
RXN-BTDD_M_FWD-BDH	        0.00	0.00000000	     1000.00
RXN-BTDD_M_FWD-tuaD	        0.00	0.00000000	     1000.00
RXN-BTDD_RR_FWD-BDH	        0.00	0.00000000	     1000.00
RXN-BTDD_RR_FWD-tuaD	        0.00	0.00000000	     1000.00
RXN-BTDt_M_FWD-SPONT	        0.00	0.00000000	     1000.00
RXN-BTDt_M_REV-SPONT	        0.00	0.00000000	     1000.00
RXN-BTDt_RR_FWD-SPONT	        0.00	0.00000000	     1000.00
RXN-BTDt_RR_REV-SPONT	        0.00	0.00000000	     1000.00
RXN-BTS6_FWD-bioB	        0.00	0.00000000	     1000.00
RXN-BTS6_FWD-hydE	        0.00	0.00000000	     1000.00
RXN-Ca2CaZn_FWD-SPONT	        0.00	0.00000000	     1000.00
RXN-Ca2divalent_FWD-SPONT	        0.00	0.00000000	     1000.00
RXN-Ca2metal_FWD-SPONT	        0.00	0.00000000	     1000.00
RXN-CAT_FWD-UNKNOWN	        0.00	0.00007091	     1000.00
RXN-CAt7r_FWD-ECM27	        0.00	0.00133854	     1000.00
RXN-CAt7r_REV-ECM27	        0.00	0.00000000	     1000.00
RXN-CBIAT_FWD-cobAcobObtuR	        0.00	0.00000000	     1000.00
RXN-CBPS_FWD-carAB_1267	        0.00	0.13477316	     1000.00
RXN-CBPS_FWD-carAB_2559	        0.00	0.00000000	     1000.00
RXN-CDGPT_FWD-pgsA	        0.00	0.00822118	     1000.00
RXN-CDGS_FWD-cdsA	        0.00	0.03073979	     1000.00
RXN-CDGSOT_FWD-UNKNOWN	        0.00	0.02209142	     1000.00
RXN-CDGSOT_REV-UNKNOWN	        0.00	0.00000000	     1000.00
RXN-CDGUNPD_FWD-dgcW	        0.00	0.00000000	     1000.00
RXN-CDGUNPD_REV-dgcW	        0.00	0.00000000	     1000.00
RXN-CDP4D6DGLCRx_FWD-spsC	        0.00	0.00000000	     1000.00
RXN-CDP4D6DGLCRx2_FWD-spsC	        0.00	0.00000000	     1000.00
RXN-CDPGLC46DH_FWD-Clo1313_0147	        0.00	0.00000000	     1000.00
RXN-CDPMEK_FWD-ispE	        0.00	0.00000000	     1000.00
RXN-CEL2abc_FWD-MSTS_0	        0.00	4.20000000	     1000.00
RXN-CEL2abc_FWD-MSTS_1	        0.00	0.00000000	     1000.00
RXN-CEL2abc_FWD-MSTS_2	        0.00	0.00000000	     1000.00
RXN-CEL2abc_FWD-MSTS_3	        0.00	0.00000000	     1000.00
RXN-CEL3abc_FWD-MSTS_0	        0.00	0.00000000	     1000.00
